number,title,state,created_at,closed_at,comments,author_association,pull_request,duration_days,is_merged,month_year
63523,CLN: Remove obsolete B905 per-file-ignores from pyproject.toml,closed,2025-12-31 17:26:51+00:00,2025-12-31 19:15:09+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63523', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63523', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63523.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63523.patch', 'merged_at': '2025-12-31T19:15:09Z'}",0,1,2025-12
63519,DOC: Correct grammar usage regarding a/an usage,closed,2025-12-31 05:32:55+00:00,2025-12-31 17:41:19+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63519', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63519', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63519.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63519.patch', 'merged_at': '2025-12-31T17:41:19Z'}",0,1,2025-12
63517,CLN: Remove dead code in `NumericDtype.__from_arrow__`,closed,2025-12-31 01:52:59+00:00,2025-12-31 03:34:07+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63517', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63517', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63517.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63517.patch', 'merged_at': '2025-12-31T03:34:07Z'}",0,1,2025-12
63509,BUG: handle negative overflow in Period conversion from timestamp,closed,2025-12-30 03:01:26+00:00,2025-12-30 22:37:23+00:00,3,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63509', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63509', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63509.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63509.patch', 'merged_at': '2025-12-30T22:37:23Z'}",0,1,2025-12
63508,BUG: Fix skipna=True to skip NaN values in FloatingArray data,closed,2025-12-30 00:21:20+00:00,2025-12-30 18:42:01+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63508', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63508', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63508.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63508.patch', 'merged_at': None}",0,0,2025-12
63507,ERR: Validate numeric_only accepts only bool in reduction operations,closed,2025-12-30 00:14:24+00:00,2025-12-30 18:49:53+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63507', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63507', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63507.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63507.patch', 'merged_at': None}",0,0,2025-12
63506,STY: Add strict parameter to zip() calls in core/reshape/reshape.py,closed,2025-12-30 00:04:17+00:00,2025-12-30 18:50:14+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63506', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63506', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63506.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63506.patch', 'merged_at': None}",0,0,2025-12
63504,DOC: allow rebuilding versioned docs through workflow_dispatch,closed,2025-12-29 17:36:30+00:00,2025-12-30 18:53:06+00:00,2,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63504', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63504', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63504.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63504.patch', 'merged_at': '2025-12-30T18:53:06Z'}",1,1,2025-12
63502,CLN: Refactor repr logic in Expression._with_op,closed,2025-12-29 15:05:14+00:00,2025-12-30 18:44:53+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63502', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63502', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63502.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63502.patch', 'merged_at': '2025-12-30T18:44:53Z'}",1,1,2025-12
63501,DOC: update dropdown logic to use 'dev' version for commits after the rc,closed,2025-12-29 12:00:57+00:00,2025-12-30 18:54:10+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63501', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63501', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63501.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63501.patch', 'merged_at': '2025-12-30T18:54:10Z'}",1,1,2025-12
63498,DOC: add myself as CODEOWNER for Getting Started and the User Guide,closed,2025-12-28 20:12:19+00:00,2025-12-30 18:46:44+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63498', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63498', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63498.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63498.patch', 'merged_at': '2025-12-30T18:46:44Z'}",1,1,2025-12
63496,DEP: Require NumPy 2 on Python>=3.14,closed,2025-12-28 14:46:22+00:00,2025-12-30 18:46:09+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63496', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63496', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63496.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63496.patch', 'merged_at': '2025-12-30T18:46:09Z'}",2,1,2025-12
63495,Modern pandas extension,closed,2025-12-28 13:43:42+00:00,2025-12-28 17:34:30+00:00,2,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63495', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63495', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63495.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63495.patch', 'merged_at': None}",0,0,2025-12
63491,BUG: pandas_dtype always raise TypeError for invalid dtype,closed,2025-12-27 16:28:43+00:00,2025-12-29 10:26:37+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63491', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63491', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63491.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63491.patch', 'merged_at': None}",1,0,2025-12
63490,STY: Add strict=True to zip() calls in pandas/tests/copy_view/test_fu…,closed,2025-12-27 05:11:12+00:00,2025-12-30 18:47:44+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63490', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63490', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63490.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63490.patch', 'merged_at': '2025-12-30T18:47:43Z'}",3,1,2025-12
63488,DOC: Fix meta_prefix and record_prefix parameter descriptions in json_normalize,closed,2025-12-26 18:46:31+00:00,2025-12-30 19:30:44+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63488', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63488', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63488.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63488.patch', 'merged_at': '2025-12-30T19:30:44Z'}",4,1,2025-12
63487,TST:Replacing all ensure_cleans with pytest fixture in pandas/_testing/_io.py and removing the definition of ensure_clean.,closed,2025-12-26 10:24:53+00:00,2025-12-26 18:44:46+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63487', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63487', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63487.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63487.patch', 'merged_at': '2025-12-26T18:44:46Z'}",0,1,2025-12
63486,DOC: clarify description of GroupBy.groups attribute,closed,2025-12-26 09:35:42+00:00,2025-12-30 19:25:04+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63486', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63486', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63486.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63486.patch', 'merged_at': '2025-12-30T19:25:04Z'}",4,1,2025-12
63483,DOC: Remove 'Show source' button from doc pages for clarity,closed,2025-12-24 22:33:04+00:00,2025-12-30 19:26:46+00:00,2,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63483', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63483', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63483.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63483.patch', 'merged_at': '2025-12-30T19:26:46Z'}",5,1,2025-12
63480,DOC: Add Series.from_arrow into api reference,closed,2025-12-24 13:36:25+00:00,2025-12-30 18:55:45+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63480', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63480', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63480.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63480.patch', 'merged_at': '2025-12-30T18:55:45Z'}",6,1,2025-12
63478,TST: Remove `ensure_clean` in `round_trip_pickle` and `round_trip_pathlib` and use `temp_file`,closed,2025-12-24 06:25:50+00:00,2025-12-26 18:47:14+00:00,4,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63478', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63478', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63478.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63478.patch', 'merged_at': None}",2,0,2025-12
63474,"CI: Bump moto, postgres",closed,2025-12-23 19:12:56+00:00,2025-12-26 18:42:29+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63474', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63474', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63474.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63474.patch', 'merged_at': '2025-12-26T18:42:29Z'}",2,1,2025-12
63471,STY: Enforce Ruff rule B905 on pandas/tests/base and pandas/tests/arrays,closed,2025-12-23 11:12:02+00:00,2025-12-23 18:11:00+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63471', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63471', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63471.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63471.patch', 'merged_at': '2025-12-23T18:11:00Z'}",0,1,2025-12
63469,STY: Add strict= to zip() calls in pandas/tests/groupby,closed,2025-12-23 07:58:42+00:00,2025-12-23 18:09:14+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63469', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63469', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63469.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63469.patch', 'merged_at': '2025-12-23T18:09:14Z'}",0,1,2025-12
63468,DOC: explain how to load data in Google Colab,closed,2025-12-23 06:49:55+00:00,2025-12-28 00:42:34+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63468', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63468', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63468.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63468.patch', 'merged_at': None}",4,0,2025-12
63467,DOC: Replace @doc decorator with inlined docstrings in pandas/io/xml.py,closed,2025-12-23 02:19:37+00:00,2025-12-23 18:12:04+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63467', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63467', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63467.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63467.patch', 'merged_at': '2025-12-23T18:12:04Z'}",0,1,2025-12
63464,DOC: replace @doc with docstrings in pandas.factorize,closed,2025-12-22 20:08:17+00:00,2025-12-22 21:51:39+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63464', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63464', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63464.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63464.patch', 'merged_at': '2025-12-22T21:51:39Z'}",0,1,2025-12
63462,ENH: Add remove_prefix and remove_suffix to NDFrame,closed,2025-12-22 17:44:58+00:00,2025-12-22 18:24:17+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63462', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63462', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63462.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63462.patch', 'merged_at': None}",0,0,2025-12
63460,ENH: Add Vortex file format supportImplements read_vortex() and DataF…,closed,2025-12-22 15:57:59+00:00,2025-12-22 18:27:05+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63460', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63460', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63460.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63460.patch', 'merged_at': None}",0,0,2025-12
63457,DOC: Inline docstrings in strings/accessor.py (#62437),closed,2025-12-22 09:22:06+00:00,2025-12-30 19:50:18+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63457', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63457', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63457.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63457.patch', 'merged_at': '2025-12-30T19:50:17Z'}",8,1,2025-12
63455,ENH: Add Vortex file format supportImplements read_vortex() and DataF…,closed,2025-12-22 08:34:10+00:00,2025-12-22 18:29:54+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63455', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63455', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63455.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63455.patch', 'merged_at': None}",0,0,2025-12
63454,DOC: Replace @doc decorator with inlined docstrings in pandas/io/xml.py,closed,2025-12-22 07:04:02+00:00,2025-12-23 02:18:55+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63454', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63454', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63454.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63454.patch', 'merged_at': None}",0,0,2025-12
63453,TST: ensure DataFrame.tail(0) preserves dtypes,closed,2025-12-21 17:04:18+00:00,2025-12-24 17:21:12+00:00,3,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63453', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63453', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63453.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63453.patch', 'merged_at': None}",3,0,2025-12
63452,BUG: Allow empty interesection in DataFrame.update,closed,2025-12-21 16:59:55+00:00,2025-12-22 18:51:00+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63452', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63452', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63452.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63452.patch', 'merged_at': '2025-12-22T18:51:00Z'}",1,1,2025-12
63451,PERF: Pass copy=False to Index constructor,closed,2025-12-21 14:13:28+00:00,2025-12-22 13:47:27+00:00,3,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63451', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63451', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63451.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63451.patch', 'merged_at': '2025-12-22T13:47:27Z'}",0,1,2025-12
63450,STY: add strict arg to zip() in files,closed,2025-12-21 12:04:28+00:00,2025-12-21 17:40:35+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63450', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63450', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63450.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63450.patch', 'merged_at': '2025-12-21T17:40:35Z'}",0,1,2025-12
63449,TST: replace ensure_clean_store with tmp_path in test_file_handling.py,closed,2025-12-21 10:03:48+00:00,2025-12-21 17:39:27+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63449', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63449', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63449.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63449.patch', 'merged_at': '2025-12-21T17:39:27Z'}",0,1,2025-12
63448,TST: replace ensure_clean_store with tmp_path in test_file_handling.py,closed,2025-12-21 09:44:08+00:00,2025-12-21 09:50:10+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63448', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63448', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63448.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63448.patch', 'merged_at': None}",0,0,2025-12
63447,BUG: Fixes Rounding of an empty Series,closed,2025-12-21 09:36:11+00:00,2025-12-22 14:28:14+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63447', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63447', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63447.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63447.patch', 'merged_at': None}",1,0,2025-12
63446,"Fix issue #63444, sorry first time if I did something wrong",closed,2025-12-21 05:26:34+00:00,2025-12-21 06:34:21+00:00,4,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63446', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63446', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63446.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63446.patch', 'merged_at': None}",0,0,2025-12
63445,DOC: Replace @doc decorator with inlined docstrings in pandas/io/parquet.py,closed,2025-12-21 03:47:25+00:00,2025-12-21 17:43:10+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63445', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63445', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63445.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63445.patch', 'merged_at': '2025-12-21T17:43:10Z'}",0,1,2025-12
